,artist,track,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7197,Steve Miller Band,Killing Floor,5jLCuwg5IPS540ExJaIq9V,25,0.738,0.832,2,-4.983,1,0.0343,0.219,0.364,0.26,0.696,139.086,184400,4
7198,Rasmus Jenzen,Song For Wermland,04dbAW4vL9SSKV4CJXEYd4,59,0.692,0.136,9,-16.076,0,0.0544,0.968,0.931,0.0903,0.22,99.906,226862,4
7199,Carla Simmons,Part of Your World,10P1THgSCHhNJHHIyuX4qa,56,0.217,0.0385,5,-24.451,1,0.0563,0.992,0.904,0.111,0.0744,207.053,238000,4
7200,ayokay,Sleeping Next To You,3sK8Hkag4ev8d8ys2SIRja,54,0.743,0.596,9,-6.853,1,0.0346,0.0927,4.45e-06,0.0826,0.257,100.013,220147,4
7201,The Marías,...baby one more time,1Zqs6A90va6FUxQ7KJAckG,57,0.708,0.169,0,-15.428,0,0.0489,0.644,0.0233,0.11,0.678,180.013,125333,4
7202,Osoku,Haku,6eZVP2Demm1WupBpsfmxkx,54,0.598,0.339,10,-11.999,0,0.253,0.441,0.842,0.164,0.59,81.97,133000,4
7203,Steve Miller Band,Swingtown - Alternate Version,1Gjwg5miwsjYtLuWORTMKP,23,0.459,0.764,9,-6.662,1,0.0354,0.224,0.000544,0.244,0.439,124.557,205707,4
7204,Thom Yorke,Traffic,1nEDT4DsoaTfexrz8D9zt1,53,0.768,0.42,5,-8.55,0,0.0546,0.0705,0.899,0.0937,0.202,129.016,317987,4
7205,Marshmello,Roll The Dice,2MIYfpEKQ8zbKBdVwOaSBH,52,0.901,0.694,0,-2.828,0,0.27,0.0511,0.0,0.119,0.284,100.066,147342,4
7206,Dabin,In Flames,44oL4Cwc1jkTxLH5kwHe1a,53,0.481,0.729,5,-4.351,0,0.0365,0.00833,0.0,0.103,0.297,91.985,204783,4
7207,Wrabel,flying,4ZtcKeRLsxGdbt9AlDPdPo,53,0.71,0.504,9,-5.423,0,0.0334,0.106,5.66e-06,0.0936,0.323,109.957,207486,4
7208,Grace VanderWaal,"Hideaway - from ""Wonder Park""",6IoQuFTjNbpl6572b9GryH,59,0.639,0.881,0,-5.068,1,0.046,0.0985,0.0,0.0519,0.541,92.054,198240,4
7209,Kevin Abstract,Mississippi,0VrQ3dAV7vefMJYb56q0M3,54,0.688,0.506,2,-9.049,0,0.0697,0.884,0.0306,0.108,0.107,138.893,217066,4
7210,MIKA,Tomorrow,2N5FkUB6QPAYZwdm1kP470,58,0.677,0.806,1,-5.515,1,0.0327,0.138,0.0,0.0848,0.663,124.03,229680,4
7211,Marvelus Fame,Ella Me Llama,1V2iEXouD0ik7zhZTLGcBU,51,0.666,0.537,8,-9.279,0,0.0299,0.526,5.94e-06,0.145,0.216,113.977,208494,4
7212,Tycho,Into The Woods,3p0FMD7f0kh4IcuucbB2My,50,0.63,0.729,10,-9.81,0,0.0327,0.52,0.935,0.0896,0.434,99.015,242611,4
7213,Adam Calhoun,Clean Money,5wiEZdvNNhPVIAN2Ddhvau,51,0.563,0.502,2,-7.106,1,0.26,0.0557,0.0,0.0783,0.302,107.252,169321,4
7214,Christian Nodal,Para Olvidarme,1OPYyNLvQ5hz9cRUYbOCBM,59,0.724,0.657,5,-3.61,1,0.0278,0.495,0.0,0.187,0.968,131.994,168773,4
7215,Nio Garcia,Hoy Se Bebe,2C7EbMAq4nzEIzlPxS0EkU,60,0.878,0.653,9,-3.55,1,0.0747,0.167,1.83e-06,0.0707,0.382,93.962,199120,4
7216,Sleeping With Sirens,Agree to Disagree,3llg6uc2Z1OJDUoxqdiWTO,55,0.561,0.935,1,-3.807,1,0.0936,0.011,0.0,0.26,0.625,89.973,182680,4
7217,Todrick Hall,Dripeesha,2nzP8qAxOI9pz2Z2KsYYsB,52,0.899,0.79,10,-5.58,0,0.188,0.0714,1.25e-05,0.0838,0.74,101.972,187408,4
7218,A$ton Wyld,Next Level,6FvqPu7bb27XSFBJizgpTU,64,0.885,0.725,9,-6.05,1,0.147,0.581,0.0,0.0657,0.923,109.067,138335,4
7219,Cazzu,Mucha Data,57x0IGrEHEdoy5QMBlcitJ,72,0.695,0.522,8,-7.271,1,0.321,0.192,9.94e-05,0.0816,0.327,134.979,154066,4
7220,Catie Turner,Breathe,5kLIYCtwwjG2ykmF1DbZxY,53,0.757,0.664,7,-7.436,1,0.157,0.377,5.35e-06,0.219,0.308,146.967,157867,4
7221,Men I Trust,Numb,6Ijmj8Z0L31hCp5pLZnT5U,56,0.783,0.303,4,-14.393,1,0.0527,0.811,0.945,0.109,0.65,138.816,219340,4
7222,Electro Recovery,Chemist,709cDWYI1J6LIqEsRdLnNH,50,0.744,0.575,2,-12.129,1,0.0806,0.00383,0.926,0.108,0.735,156.037,61597,4
7223,Ray Fulcher,Anything Like You Dance,0hHTO2KHEcsULw3Huhol6J,51,0.692,0.887,11,-5.458,1,0.0644,0.141,1.52e-06,0.178,0.45,114.056,198601,4
7224,Jai Wolf,Better Apart (feat. Dresage),1TFC1wutiIHQQ9buf8bxQI,52,0.489,0.703,4,-4.564,0,0.026,0.013,6.04e-05,0.104,0.256,149.977,234987,4
7225,Beyoncé,Love On Top - Homecoming Live,7idYtPogV73zodBoWqvxkf,58,0.317,0.855,7,-8.415,1,0.627,0.0515,0.0,0.897,0.184,175.724,227216,4
7226,Easton Corbin,Somebody's Gotta Be Country,5ynDBvw2xo22bXRu4GHREg,51,0.726,0.856,8,-2.807,1,0.035,0.0342,4.6e-06,0.302,0.962,114.022,182498,4
7227,Young Nudy,"Black Hippie, White Hipster",6PkgAqFSFbEWriHFjr1OL6,51,0.839,0.46,11,-8.681,0,0.279,0.103,0.0,0.475,0.348,130.016,158720,4
7228,PopLord,Call Me Daddy (feat. Lil Baby),2JpaAv2AaAAStgAOijx9V5,52,0.864,0.51,8,-5.384,1,0.434,0.0283,0.0,0.224,0.352,130.002,177227,4
7229,Pravda Piano,Park Of Culture And Rest,2dGF0mEuOaMrqE0y34In4Q,57,0.281,0.00329,6,-29.373,1,0.0351,0.995,0.862,0.091,0.137,71.881,169587,3
7230,HRVY,Out Loud,60osniAFR9op7mvLOGLluc,52,0.776,0.555,3,-9.792,1,0.269,0.0711,0.0,0.074,0.703,129.974,177120,4
7231,Abigail Lapell,Down by the Water,4c5npp9gnwBHHyKnaqK2mD,56,0.632,0.0807,9,-16.066,1,0.0329,0.933,4.81e-06,0.101,0.273,93.925,175045,4
